filename,faceId,gender,age,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,smile,faceRectangleTop,faceRectangleLeft,faceRectangleWidth,faceRectangleHeight,pupilLeft.x,pupilLeft.y,pupilRight.x,pupilRight.y,noseTip.x,noseTip.y,mouthLeft.x,mouthLeft.y,mouthRight.x,mouthRight.y,eyebrowLeftOuter.x,eyebrowLeftOuter.y,eyebrowLeftInner.x,eyebrowLeftInner.y,eyeLeftOuter.x,eyeLeftOuter.y,eyeLeftTop.x,eyeLeftTop.y,eyeLeftBottom.x,eyeLeftBottom.y,eyeLeftInner.x,eyeLeftInner.y,eyebrowRightInner.x,eyebrowRightInner.y,eyebrowRightOuter.x,eyebrowRightOuter.y,eyeRightInner.x,eyeRightInner.y,eyeRightTop.x,eyeRightTop.y,eyeRightBottom.x,eyeRightBottom.y,eyeRightOuter.x,eyeRightOuter.y,noseRootLeft.x,noseRootLeft.y,noseRootRight.x,noseRootRight.y,noseLeftAlarTop.x,noseLeftAlarTop.y,noseRightAlarTop.x,noseRightAlarTop.y,noseLeftAlarOutTip.x,noseLeftAlarOutTip.y,noseRightAlarOutTip.x,noseRightAlarOutTip.y,upperLipTop.x,upperLipTop.y,upperLipBottom.x,upperLipBottom.y,underLipTop.x,underLipTop.y,underLipBottom.x,underLipBottom.y
16174-S_20131204_1317_03.mp4-11605.jpg,b0989f91-f1c7-4ee0-ab18-cdde41752467,male,19,0.001,0.001,0.001,0.033,0.015,0.443,0.109,0.396,0.015,0,228,261,249,287.8,70.6,398.7,45.7,365,127.2,321.9,185.3,422.6,171,232.4,55.6,310.1,28,266.9,76.6,284.4,62.6,287.5,81,306.5,68.8,361.4,19,442.7,17.4,379,52.5,394.8,38.5,399.7,54.6,416.4,43.2,328.1,64.2,361.1,56.4,332.3,111.3,381.4,98.6,325.2,139.7,401.2,116.9,371.8,168.4,374,179.5,378.9,190.6,382.7,206.4
1619-A_20130721_1008_01.mp4-37290.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620-A_20130721_1008_01.mp4-38140.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621-A_20130721_1008_01.mp4-38220.jpg,8d197203-412d-4f7f-adb7-5c1789f4a66d,female,19,0.001,0,0,0.002,0,0.138,0,0.86,0,104,258,261,261,339.3,164.4,438.3,169.3,389.5,245.8,347.6,301.4,428,307,292.7,130.1,364.8,136.1,319.1,165.4,337.8,160.6,337.1,169.8,354.9,164.6,412.6,130.5,473,137.8,419.5,167.9,438.4,165.3,438.2,174.8,454.2,171.8,372.8,169.5,405.4,170.1,364.2,218.9,412.7,220.3,354.9,238.3,423,246.8,391.8,278.4,390.5,295.8,389.1,326.7,389.2,349.7
16212-S_20131207_1320_02.mp4-14930.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16215-S_20131207_1320_02.mp4-21220.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16216-S_20131207_1320_02.mp4-21945.jpg,6a15fca6-8b05-49f7-bf44-1720cdc7c9e7,female,24,0.001,0.012,0.002,0.003,0.02,0.902,0.016,0.045,0.02,49,229,111,111,270.6,74.7,314,85,285.5,104.9,257.7,127.7,296.4,139,256.9,53.5,285.6,58.2,261.9,73.1,269.5,72.2,268.4,76.6,276.6,77,303.8,63.9,337.2,73.6,307.8,84.8,315.9,83.2,314.6,88.8,322.7,88.3,285.5,78.8,298,81.5,277.3,97.6,298.2,103.4,270.5,104.4,301.3,113.1,280.2,123.7,279,128.9,277,136.3,274.9,143.2
16217-S_20131207_1320_02.mp4-23385.jpg,33982e7f-a6ae-4f13-8c55-6ea1f956b05f,female,17,0,0,0,0,0.001,0.909,0,0.09,0.001,143,329,72,72,350.1,163.5,380.8,163,365.2,175.8,350.9,198.9,376.6,199,337.6,151.3,358.7,151,344.7,163.8,349.5,161.4,349.5,165.2,354.9,163.5,372.4,150.6,393.7,152.9,376.1,163.1,381.6,161.3,381.6,164.8,386.5,163.5,361.6,162.7,370,163,358.4,174.3,371.8,174.3,354.9,181,374.9,182,363.5,192.6,363.4,196.2,363.1,198.3,362.8,203.7
16219-S_20131207_1320_02.mp4-25780.jpg,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622-A_20130721_1008_01.mp4-38290.jpg,42755ae8-226b-404e-a9bf-4d9826303b5a,female,21,0,0,0,0,1,0,0,0,1,132,193,226,226,248.8,201.1,354.2,193.7,304.5,249.2,262.2,298.9,361,293.4,203.1,182.9,271.4,163.6,232.5,204.2,247.9,198.4,248.3,205.5,263.6,201.4,328.2,157.4,392.5,167,336.2,196.4,351.8,191.8,352.6,198.5,368.5,193.7,287.6,200.2,316.9,198.3,281.2,238.6,327.7,234.6,272.6,254.9,339.6,252,308.7,289.5,308.9,298.1,311.7,311.5,311.4,325.6
